ext_no	num_t	p_size	qm.dbh	sd	sp	lati.	long.	alti.	slope	azimuth	m.age	cv.age	maxh1	maxh2	sp.k
1	79	0.04	0.142605368549857	1975	QAt	33.34	126.67	189	0	18	39.4	0.337477566265881	15.2	14.5	붉가시나무
2	57	0.02	0.116611891903585	2850	QAt	33.34	126.67	150	15	24	30.25	0.0165289256198347	11.9	11.94	붉가시나무
3	37	0.02	0.131572814081806	1850	QAt	33.34	126.67	400	15	52	29.6666666666667	0.194612450288638	13	10.8	붉가시나무
4	38	0.01	0.056127908434781	3800	QAt	33.29	126.7	150	0	240	10	0	5.9	6.3	붉가시나무
5	16	0.01	0.138228072402099	1600	QS	35.09	127.55	502	35	235	34.2	0.100015388166591	14	12.48	서어나무
5	16	0.01	0.138228072402099	1600	QS	35.09	127.55	502	35	235	34.2	0.100015388166591	14	12.48	굴피나무
5	16	0.01	0.138228072402099	1600	QS	35.09	127.55	502	35	235	34.2	0.100015388166591	14	12.48	낙엽송
5	16	0.01	0.138228072402099	1600	QS	35.09	127.55	502	35	235	34.2	0.100015388166591	14	12.48	굴참나무
5	16	0.01	0.138228072402099	1600	QS	35.09	127.55	502	35	235	34.2	0.100015388166591	14	12.48	졸참나무
6	37	0.04	0.153732568776765	925	QS	34.38	126.68	180	15	340	27.8	0.123040513499907	13.4	13.15	졸참나무
6	37	0.04	0.153732568776765	925	QS	34.38	126.68	180	15	340	27.8	0.123040513499907	13.4	13.15	중부지방소나무
6	37	0.04	0.153732568776765	925	QS	34.38	126.68	180	15	340	27.8	0.123040513499907	13.4	13.15	붉가시나무
7	26	0.04	0.169454441347247	650	QS	34.38	126.68	171	20	305	29.6	0.0777761110352793	15.6	15.16	졸참나무
7	26	0.04	0.169454441347247	650	QS	34.38	126.68	171	20	305	29.6	0.0777761110352793	15.6	15.16	붉가시나무
7	26	0.04	0.169454441347247	650	QS	34.38	126.68	171	20	305	29.6	0.0777761110352793	15.6	15.16	자귀나무
7	26	0.04	0.169454441347247	650	QS	34.38	126.68	171	20	305	29.6	0.0777761110352793	15.6	15.16	중부지방소나무
7	26	0.04	0.169454441347247	650	QS	34.38	126.68	171	20	305	29.6	0.0777761110352793	15.6	15.16	개서어나무
7	26	0.04	0.169454441347247	650	QS	34.38	126.68	171	20	305	29.6	0.0777761110352793	15.6	15.16	산벚나무
8	18	0.04	0.135865180315717	450	PK	37.77	128.02	273	10	20	16.6	0.0686852665722372	7.4	8.1	잣나무
9	36	0.04	0.234543306235757	900	PK	37.81	127.89	510	29	315	40	0.10155048005795	15.1	15.6	잣나무
10	34	0.04	0.271566615162078	850	PK	37.81	127.89	507	32	285	41.8	0.0262068209332615	19.8	16	잣나무
11	33	0.0225	0.143425093954153	1466.66666666667	LL	37.7	128.07	326	0	35	14.8	0.0740165618250224	16.8	15.8	낙엽송
12	82	0.04	0.133784956681035	2050	PTl	37.8	127.89	356	34	255	35.75	0.224212860725614	27.8	24.9	현사시나무
12	82	0.04	0.133784956681035	2050	PTl	37.8	127.89	356	34	255	35.75	0.224212860725614	27.8	24.9	신갈나무
12	82	0.04	0.133784956681035	2050	PTl	37.8	127.89	356	34	255	35.75	0.224212860725614	27.8	24.9	강원지방소나무
13	47	0.04	0.152639402626067	1175	PR	35.98	127.67	450	16	130	33.6	0.0955167055707215	14.9	12.9	리기다소나무
13	47	0.04	0.152639402626067	1175	PR	35.98	127.67	450	16	130	33.6	0.0955167055707215	14.9	12.9	굴참나무
